filename,width,height,class,xmin,ymin,xmax,ymax,new_path,new_bb
images/rotated/1_0.jpg,500,500,waldo,172,205,181,225,images/rotated/1_0.jpg,[172 205 181 225]
images/rotated/1_90.jpg,500,500,waldo,205,328,225,319,images/rotated/1_90.jpg,[205 328 225 319]
images/rotated/1_180.jpg,500,500,waldo,328,295,319,275,images/rotated/1_180.jpg,[328 295 319 275]
images/rotated/1_270.jpg,500,500,waldo,295,172,275,181,images/rotated/1_270.jpg,[295 172 275 181]
images/rotated/10_0.jpg,500,500,waldo,223,80,229,92,images/rotated/10_0.jpg,[223  80 229  92]
images/rotated/10_90.jpg,500,500,waldo,80,277,92,271,images/rotated/10_90.jpg,[ 80 277  92 271]
images/rotated/10_180.jpg,500,500,waldo,277,420,271,408,images/rotated/10_180.jpg,[277 420 271 408]
images/rotated/10_270.jpg,500,500,waldo,420,223,408,229,images/rotated/10_270.jpg,[420 223 408 229]
images/rotated/11_0.jpg,500,500,waldo,81,418,85,426,images/rotated/11_0.jpg,[ 81 418  85 426]
images/rotated/11_90.jpg,500,500,waldo,418,419,426,415,images/rotated/11_90.jpg,[418 419 426 415]
images/rotated/11_180.jpg,500,500,waldo,419,82,415,74,images/rotated/11_180.jpg,[419  82 415  74]
images/rotated/11_270.jpg,500,500,waldo,82,81,74,85,images/rotated/11_270.jpg,[82 81 74 85]
images/rotated/12_0.jpg,500,500,waldo,332,147,344,160,images/rotated/12_0.jpg,[332 147 344 160]
images/rotated/12_90.jpg,500,500,waldo,147,168,160,156,images/rotated/12_90.jpg,[147 168 160 156]
images/rotated/12_180.jpg,500,500,waldo,168,353,156,340,images/rotated/12_180.jpg,[168 353 156 340]
images/rotated/12_270.jpg,500,500,waldo,353,332,340,344,images/rotated/12_270.jpg,[353 332 340 344]
images/rotated/13_0.jpg,500,500,waldo,364,159,368,167,images/rotated/13_0.jpg,[364 159 368 167]
images/rotated/13_90.jpg,500,500,waldo,159,136,167,132,images/rotated/13_90.jpg,[159 136 167 132]
images/rotated/13_180.jpg,500,500,waldo,136,341,132,333,images/rotated/13_180.jpg,[136 341 132 333]
images/rotated/13_270.jpg,500,500,waldo,341,364,333,368,images/rotated/13_270.jpg,[341 364 333 368]
images/rotated/14_0.jpg,500,500,waldo,58,401,70,410,images/rotated/14_0.jpg,[ 58 401  70 410]
images/rotated/14_90.jpg,500,500,waldo,401,442,410,430,images/rotated/14_90.jpg,[401 442 410 430]
images/rotated/14_180.jpg,500,500,waldo,442,99,430,90,images/rotated/14_180.jpg,[442  99 430  90]
images/rotated/14_270.jpg,500,500,waldo,99,58,90,70,images/rotated/14_270.jpg,[99 58 90 70]
images/rotated/15_0.jpg,500,500,waldo,93,213,97,221,images/rotated/15_0.jpg,[ 93 213  97 221]
images/rotated/15_90.jpg,500,500,waldo,213,407,221,403,images/rotated/15_90.jpg,[213 407 221 403]
images/rotated/15_180.jpg,500,500,waldo,407,287,403,279,images/rotated/15_180.jpg,[407 287 403 279]
images/rotated/15_270.jpg,500,500,waldo,287,93,279,97,images/rotated/15_270.jpg,[287  93 279  97]
images/rotated/17_0.jpg,500,500,waldo,235,102,241,114,images/rotated/17_0.jpg,[235 102 241 114]
images/rotated/17_90.jpg,500,500,waldo,102,265,114,259,images/rotated/17_90.jpg,[102 265 114 259]
images/rotated/17_180.jpg,500,500,waldo,265,398,259,386,images/rotated/17_180.jpg,[265 398 259 386]
images/rotated/17_270.jpg,500,500,waldo,398,235,386,241,images/rotated/17_270.jpg,[398 235 386 241]
images/rotated/18_0.jpg,500,500,waldo,396,38,406,57,images/rotated/18_0.jpg,[396  38 406  57]
images/rotated/18_90.jpg,500,500,waldo,38,104,57,94,images/rotated/18_90.jpg,[ 38 104  57  94]
images/rotated/18_180.jpg,500,500,waldo,104,462,94,443,images/rotated/18_180.jpg,[104 462  94 443]
images/rotated/18_270.jpg,500,500,waldo,462,396,443,406,images/rotated/18_270.jpg,[462 396 443 406]
images/rotated/19_0.jpg,500,500,waldo,132,361,137,370,images/rotated/19_0.jpg,[132 361 137 370]
images/rotated/19_90.jpg,500,500,waldo,361,368,370,363,images/rotated/19_90.jpg,[361 368 370 363]
images/rotated/19_180.jpg,500,500,waldo,368,139,363,130,images/rotated/19_180.jpg,[368 139 363 130]
images/rotated/19_270.jpg,500,500,waldo,139,132,130,137,images/rotated/19_270.jpg,[139 132 130 137]
images/rotated/2_0.jpg,500,500,waldo,32,275,42,293,images/rotated/2_0.jpg,[ 32 275  42 293]
images/rotated/2_90.jpg,500,500,waldo,275,468,293,458,images/rotated/2_90.jpg,[275 468 293 458]
images/rotated/2_180.jpg,500,500,waldo,468,225,458,207,images/rotated/2_180.jpg,[468 225 458 207]
images/rotated/2_270.jpg,500,500,waldo,225,32,207,42,images/rotated/2_270.jpg,[225  32 207  42]
images/rotated/3_0.jpg,500,500,waldo,339,172,347,186,images/rotated/3_0.jpg,[339 172 347 186]
images/rotated/3_90.jpg,500,500,waldo,172,161,186,153,images/rotated/3_90.jpg,[172 161 186 153]
images/rotated/3_180.jpg,500,500,waldo,161,328,153,314,images/rotated/3_180.jpg,[161 328 153 314]
images/rotated/3_270.jpg,500,500,waldo,328,339,314,347,images/rotated/3_270.jpg,[328 339 314 347]
images/rotated/4_0.jpg,500,500,waldo,362,110,368,120,images/rotated/4_0.jpg,[362 110 368 120]
images/rotated/4_90.jpg,500,500,waldo,110,138,120,132,images/rotated/4_90.jpg,[110 138 120 132]
images/rotated/4_180.jpg,500,500,waldo,138,390,132,380,images/rotated/4_180.jpg,[138 390 132 380]
images/rotated/4_270.jpg,500,500,waldo,390,362,380,368,images/rotated/4_270.jpg,[390 362 380 368]
images/rotated/5_0.jpg,500,500,waldo,210,169,217,180,images/rotated/5_0.jpg,[210 169 217 180]
images/rotated/5_90.jpg,500,500,waldo,169,290,180,283,images/rotated/5_90.jpg,[169 290 180 283]
images/rotated/5_180.jpg,500,500,waldo,290,331,283,320,images/rotated/5_180.jpg,[290 331 283 320]
images/rotated/5_270.jpg,500,500,waldo,331,210,320,217,images/rotated/5_270.jpg,[331 210 320 217]
images/rotated/6_0.jpg,500,500,waldo,419,140,428,155,images/rotated/6_0.jpg,[419 140 428 155]
images/rotated/6_90.jpg,500,500,waldo,140,81,155,72,images/rotated/6_90.jpg,[140  81 155  72]
images/rotated/6_180.jpg,500,500,waldo,81,360,72,345,images/rotated/6_180.jpg,[ 81 360  72 345]
images/rotated/6_270.jpg,500,500,waldo,360,419,345,428,images/rotated/6_270.jpg,[360 419 345 428]
images/rotated/7_0.jpg,500,500,waldo,210,335,219,352,images/rotated/7_0.jpg,[210 335 219 352]
images/rotated/7_90.jpg,500,500,waldo,335,290,352,281,images/rotated/7_90.jpg,[335 290 352 281]
