filename,width,height,class,xmin,ymin,xmax,ymax
./images/1.jpg,2048,1251,waldo,706,513,743,562
./images/10.jpg,1600,980,waldo,715,157,733,181
./images/11.jpg,2828,1828,waldo,460,1530,482,1557
./images/12.jpg,1276,1754,waldo,846,517,878,563
./images/13.jpg,1280,864,waldo,932,274,942,288
./images/14.jpg,1700,2340,waldo,197,1878,237,1919
./images/15.jpg,1600,1006,waldo,297,428,311,445
./images/17.jpg,1599,1230,waldo,751,250,772,281
./images/18.jpg,1590,981,waldo,1259,75,1290,111
./images/19.jpg,1280,864,waldo,338,623,351,640
./images/2.jpg,1286,946,waldo,82,521,107,554
./images/3.jpg,2048,1346,waldo,1390,463,1422,500
./images/4.jpg,2048,1272,waldo,1484,279,1507,306
./images/5.jpg,2100,1760,waldo,882,594,913,634
./images/6.jpg,2048,1454,waldo,1715,408,1754,452
./images/7.jpg,1949,1419,waldo,817,951,852,999
./images/8.jpg,2800,1760,waldo,1166,291,1191,322
./images/9.jpg,1298,951,waldo,231,735,261,769
./images/8.jpg,2800,1760,waldo,618,130,707,227
./images/10.jpg,1600,980,waldo,428,83,483,145
./images/16.jpg,1525,3415,waldo,556,0,1140,630
./images/20.jpg,2953,2088,waldo,290,1680,331,1731
./images/21.jpg,2048,1515,waldo,1321,1366,1350,1398
./images/22.jpg,960,671,waldo,470,125,484,141
./images/23.jpg,2560,1680,waldo,1422,728,1440,755
./images/24.jpg,1772,1112,waldo,723,1055,741,1076
./images/25.jpg,736,536,waldo,461,44,474,60
./images/26.jpg,954,702,waldo,883,332,904,353
./images/27.jpg,700,700,waldo,132,82,152,106
./images/28.jpg,661,720,waldo,485,502,498,517
./images/29.jpg,1286,944,waldo,930,594,948,617
./images/30.jpg,900,648,waldo,678,496,693,516
./images/31.jpg,500,256,waldo,401,5,440,52
./images/32.jpg,325,300,waldo,145,18,186,68
./images/33.jpg,456,256,waldo,145,0,314,176
./images/34.jpg,413,500,waldo,175,2,290,132
./images/35.jpg,600,374,waldo,300,44,515,254
./images/36.jpg,591,629,waldo,171,20,196,48
./images/36.jpg,591,629,waldo,270,5,300,42
./images/36.jpg,591,629,waldo,358,5,388,38
./images/36.jpg,591,629,waldo,449,8,479,40
./images/36.jpg,591,629,waldo,527,15,554,48
./images/36.jpg,464,547,waldo,94,270,106,279
